species_sci,wcvp_matched_name,wcvp_status,accepted_name,accepted_authors,accepted_family,accepted_genus,accepted_rank,powo_id,powo_match_type
Abutilon therophrasti Medik.,Abutilon theophrasti Medik.,Accepted,Abutilon theophrasti,Medik.,Malvaceae,Abutilon,Species,1044174-2,canon_fuzzy1
Acalypha australis L.,Acalypha australis L.,Accepted,Acalypha australis,L.,Euphorbiaceae,Acalypha,Species,337182-1,exact_full
Acanthocephalus amplexifolius Kar. & Kir.,Acanthocephalus amplexifolius Kar. & Kir.,Accepted,Acanthocephalus amplexifolius,Kar. & Kir.,Asteraceae,Acanthocephalus,Species,173703-1,exact_full
Acanthocephalus benthamianus Regel & Schmalh.,Acanthocephalus benthamianus Regel,Accepted,Acanthocephalus benthamianus,Regel,Asteraceae,Acanthocephalus,Species,173704-1,exact_name_unique
Acantholepis orientalis Less.,Acantholepis orientalis Less.,Synonym,Echinops acantholepis,Jaub. & Spach,Asteraceae,Echinops,Species,202392-1,exact_full
Acantholimon alatavicum Bunge,Acantholimon alatavicum Bunge,Accepted,Acantholimon alatavicum,Bunge,Plumbaginaceae,Acantholimon,Species,685893-1,exact_full
Acantholimon alberti Regel,Acantholimon alberti Regel,Accepted,Acantholimon alberti,Regel,Plumbaginaceae,Acantholimon,Species,685895-1,exact_full
Acantholimon annae Lincz.,Acantholimon annae Lincz.,Accepted,Acantholimon annae,Lincz.,Plumbaginaceae,Acantholimon,Species,685901-1,exact_full
Acantholimon butkovii Lincz.,Acantholimon butkovii Lincz.,Accepted,Acantholimon butkovii,Lincz.,Plumbaginaceae,Acantholimon,Species,685934-1,exact_full
Acantholimon compactum Korovin,Acantholimon compactum Korovin,Accepted,Acantholimon compactum,Korovin,Plumbaginaceae,Acantholimon,Species,685953-1,exact_full
Acantholimon ekatherinae (B. Fedtsch.) Czerniak.,Acantholimon ekatherinae (B.Fedtsch.) Czerniak.,Accepted,Acantholimon ekatherinae,(B.Fedtsch.) Czerniak.,Plumbaginaceae,Acantholimon,Species,685969-1,exact_full
Acantholimon erythraeum Bunge,Acantholimon erythraeum Bunge,Accepted,Acantholimon erythraeum,Bunge,Plumbaginaceae,Acantholimon,Species,685973-1,exact_full
Acantholimon gontscharovii Czerniak.,Acantholimon gontscharovii Czerniak.,Accepted,Acantholimon gontscharovii,Czerniak.,Plumbaginaceae,Acantholimon,Species,77201824-1,exact_full
Acantholimon hissaricum Lincz.,Acantholimon hissaricum Lincz.,Accepted,Acantholimon hissaricum,Lincz.,Plumbaginaceae,Acantholimon,Species,686008-1,exact_full
Acantholimon katrantavicum Lincz.,Acantholimon katrantavicum Lincz.,Accepted,Acantholimon katrantavicum,Lincz.,Plumbaginaceae,Acantholimon,Species,686025-1,exact_full
Acantholimon korolkovii (Regel) Korovin ex Lincz.,Acantholimon korolkovii (Regel) Korovin,Accepted,Acantholimon korolkovii,(Regel) Korovin,Plumbaginaceae,Acantholimon,Species,686033-1,exact_name_unique
Acantholimon laxiusculum F.O. Khass. & I.I. Malzev,Acantholimon laxiusculum F.O.Khasanov & I.I.Mal'tsev,Synonym,Acantholimon margaritae,Korovin,Plumbaginaceae,Acantholimon,Species,686060-1,exact_name_unique
Acantholimon litvinovii Lincz.,Acantholimon litvinovii Lincz.,Accepted,Acantholimon litvinovii,Lincz.,Plumbaginaceae,Acantholimon,Species,686050-1,exact_full
Acantholimon majewianum Regel,Acantholimon majewianum Regel,Accepted,Acantholimon majewianum,Regel,Plumbaginaceae,Acantholimon,Species,686059-1,exact_full
Acantholimon margaritae Korovin ex Lincz.,Acantholimon margaritae Korovin,Accepted,Acantholimon margaritae,Korovin,Plumbaginaceae,Acantholimon,Species,686060-1,exact_name_unique
Acantholimon muchamedshanovii Lincz.,Acantholimon muchamedshanovii Lincz.,Accepted,Acantholimon muchamedshanovii,Lincz.,Plumbaginaceae,Acantholimon,Species,686070-1,exact_full
Acantholimon nabievii Lincz.,Acantholimon nabievii Lincz.,Accepted,Acantholimon nabievii,Lincz.,Plumbaginaceae,Acantholimon,Species,686072-1,exact_full
Acantholimon nuratavicum Zakirov ex Lincz.,Acantholimon nuratavicum Zakirov,Accepted,Acantholimon nuratavicum,Zakirov,Plumbaginaceae,Acantholimon,Species,686076-1,exact_name_unique
Acantholimon pskemense Lincz.,Acantholimon pskemense Lincz.,Accepted,Acantholimon pskemense,Lincz.,Plumbaginaceae,Acantholimon,Species,686098-1,exact_full
Acantholimon sarawschanicum Regel,Acantholimon saravschanicum Regel,Accepted,Acantholimon saravschanicum,Regel,Plumbaginaceae,Acantholimon,Species,686120-1,canon_exact
Acantholimon schachimardanicum Lincz.,Acantholimon schachimardanicum Lincz.,Accepted,Acantholimon schachimardanicum,Lincz.,Plumbaginaceae,Acantholimon,Species,686126-1,exact_full
Acantholimon subavenaceum Lincz.,Acantholimon subavenaceum Lincz.,Accepted,Acantholimon subavenaceum,Lincz.,Plumbaginaceae,Acantholimon,Species,686153-1,exact_full
Acantholimon taschkurganicum Lincz. & Akschig.,Acantholimon taschkurganicum Lincz. & N.I.Akshigitova,Accepted,Acantholimon taschkurganicum,Lincz. & N.I.Akshigitova,Plumbaginaceae,Acantholimon,Species,686161-1,exact_name_unique
Acantholimon tataricum Boiss.,Acantholimon tataricum Boiss.,Accepted,Acantholimon tataricum,Boiss.,Plumbaginaceae,Acantholimon,Species,686162-1,exact_full
Acantholimon virens Czerniak. ex Lincz.,Acantholimon virens Czerniak.,Accepted,Acantholimon virens,Czerniak.,Plumbaginaceae,Acantholimon,Species,686183-1,exact_name_unique
Acantholimon vvedenskyi Lincz.,Acantholimon vvedenskyi Lincz.,Accepted,Acantholimon vvedenskyi,Lincz.,Plumbaginaceae,Acantholimon,Species,686185-1,exact_full
Acantholimon zakirovii Beshko,Acantholimon zakirovii Beshko,Accepted,Acantholimon zakirovii,Beshko,Plumbaginaceae,Acantholimon,Species,77147347-1,exact_full
Acanthophyllum aculeatum Schischk.,Acanthophyllum aculeatum Schischk.,Accepted,Acanthophyllum aculeatum,Schischk.,Caryophyllaceae,Acanthophyllum,Species,150210-1,exact_full
Acanthophyllum albidum Schischk.,Acanthophyllum albidum Schischk.,Accepted,Acanthophyllum albidum,Schischk.,Caryophyllaceae,Acanthophyllum,Species,150212-1,exact_full
Acanthophyllum borszczowii Litv.,Acanthophyllum borsczowii Litv.,Synonym,Acanthophyllum elatius,Bunge,Caryophyllaceae,Acanthophyllum,Species,150229-1,canon_exact
Acanthophyllum cyrtostegium Vved.,Acanthophyllum cyrtostegium Vved.,Accepted,Acanthophyllum cyrtostegium,Vved.,Caryophyllaceae,Acanthophyllum,Species,978235-1,exact_full
Acanthophyllum elatius Bunge,Acanthophyllum elatius Bunge,Accepted,Acanthophyllum elatius,Bunge,Caryophyllaceae,Acanthophyllum,Species,150229-1,exact_full
Acanthophyllum gypsophiloides Regel,Acanthophyllum gypsophiloides Regel,Accepted,Acanthophyllum gypsophiloides,Regel,Caryophyllaceae,Acanthophyllum,Species,150238-1,exact_full
Acanthophyllum korolkowii Regel & Schmalh.,Acanthophyllum korolkowii Regel & Schmalh.,Accepted,Acanthophyllum korolkowii,Regel & Schmalh.,Caryophyllaceae,Acanthophyllum,Species,150245-1,exact_full
Acanthophyllum krascheninnikovii Schischk.,Acanthophyllum krascheninnikovii Schischk.,Accepted,Acanthophyllum krascheninnikovii,Schischk.,Caryophyllaceae,Acanthophyllum,Species,150247-1,exact_full
Acanthophyllum paniculatum Regel & Herder,Acanthophyllum paniculatum Regel & Herder,Accepted,Acanthophyllum paniculatum,Regel & Herder,Caryophyllaceae,Acanthophyllum,Species,150263-1,exact_full
Acanthophyllum pungens (Bunge) Boiss.,Acanthophyllum pungens (Bunge) Boiss.,Accepted,Acanthophyllum pungens,(Bunge) Boiss.,Caryophyllaceae,Acanthophyllum,Species,150268-1,exact_full
Acanthophyllum sarawschanicum Golenkin,Acanthophyllum sarawschanicum Golenkin,Accepted,Acanthophyllum sarawschanicum,Golenkin,Caryophyllaceae,Acanthophyllum,Species,77221663-1,exact_full
Acanthophyllum stenostegium Freyn,Acanthophyllum stenostegium Freyn,Accepted,Acanthophyllum stenostegium,Freyn,Caryophyllaceae,Acanthophyllum,Species,150279-1,exact_full
Acanthophyllum subglabrum Schischk.,Acanthophyllum subglabrum Schischk.,Accepted,Acanthophyllum subglabrum,Schischk.,Caryophyllaceae,Acanthophyllum,Species,150282-1,exact_full
Acanthophyllum tadshikistanicum Schischk.,Acanthophyllum tadshikistanicum (Schischk.) Schischk.,Accepted,Acanthophyllum tadshikistanicum,(Schischk.) Schischk.,Caryophyllaceae,Acanthophyllum,Species,60473747-2,exact_name_unique
Acer pubescens Franch.,Acer pubescens Franch.,Synonym,Acer pentapomicum,J.L.Stewart,Sapindaceae,Acer,Species,781447-1,exact_full
Acer semenovii Regel & Herder,Acer semenovii Regel & Herder,Synonym,Acer tataricum subsp. semenovii,(Regel & Herder) A.E.Murray,Sapindaceae,Acer,Subspecies,920440-1,exact_full
Acer turkestanicum Pax,Acer turkestanicum Pax,Synonym,Acer platanoides subsp. turkestanicum,(Pax) P.C.de Jong,Sapindaceae,Acer,Subspecies,978224-1,exact_full
Achillea biebersteinii Afan.,Achillea biebersteinii Afanasiev,Synonym,Achillea arabica,Kotschy,Asteraceae,Achillea,Species,173817-1,exact_name_unique
Achillea filipendulina Lam.,Achillea filipendulina Lam.,Accepted,Achillea filipendulina,Lam.,Asteraceae,Achillea,Species,173972-1,exact_full
Achillea karatavica Kamelin,Achillea karatavica Kamelin,Accepted,Achillea karatavica,Kamelin,Asteraceae,Achillea,Species,986180-1,exact_full
Achillea kermanica Gand.,Achillea kermanica Gand.,Synonym,Achillea wilhelmsii,K.Koch,Asteraceae,Achillea,Species,174355-1,exact_full
Achillea micrantha M. Bieb.,Achillea micrantha Willd.,Accepted,Achillea micrantha,Willd.,Asteraceae,Achillea,Species,174104-1,exact_name_unique
Achillea millefolium L.,Achillea millefolium L.,Accepted,Achillea millefolium,L.,Asteraceae,Achillea,Species,2294-2,exact_full
Achillea nobilis L.,Achillea nobilis L.,Accepted,Achillea nobilis,L.,Asteraceae,Achillea,Species,2332-2,name_multi_author_ok
Achnatherum caragana (Trin.) Roshev.,Achnatherum caragana (Trin.) Nevski,Synonym,Timouria conferta,(Poir.) Sennikov,Poaceae,Timouria,Species,77331096-1,exact_name_unique
Achnatherum splendens (Trin.) Nevski,Achnatherum splendens (Trin.) Nevski,Synonym,Neotrinia splendens,"(Trin.) M.Nobis, P.D.Gudkova & A.Nowak",Poaceae,Neotrinia,Species,77200896-1,exact_full
Achnatherum turkomanicum (Roshev.) Tzvelev,Achnatherum turcomanicum (Roshev.) Tzvelev,Accepted,Achnatherum turcomanicum,(Roshev.) Tzvelev,Poaceae,Achnatherum,Species,384458-1,canon_exact
Acinos rotundifolius Pers.,Acinos rotundifolius Pers.,Synonym,Clinopodium graveolens subsp. rotundifolium,(Pers.) Govaerts,Lamiaceae,Clinopodium,Subspecies,1009796-1,name_multi_author_ok
Aconitum rotundifolium Kar. & Kir.,Aconitum rotundifolium Kar. & Kir.,Accepted,Aconitum rotundifolium,Kar. & Kir.,Ranunculaceae,Aconitum,Species,707778-1,exact_full
Aconitum seravschanicum Steinb.,Aconitum seravschanicum Steinb.,Accepted,Aconitum seravschanicum,Steinb.,Ranunculaceae,Aconitum,Species,707808-1,exact_full
Aconitum talassicum Popov,Aconitum talassicum Popov,Accepted,Aconitum talassicum,Popov,Ranunculaceae,Aconitum,Species,707867-1,exact_full
Aconogonon bucharicum (Grig.) Holub,Aconogonon bucharicum (Grig.) Holub,Synonym,Koenigia coriaria,(Grig.) T.M.Schust. & Reveal,Polygonaceae,Koenigia,Species,77152597-1,exact_full
Aconogonon hissaricum (Popov) Sojăk,Aconogonon hissaricum (Popov) Soják,Synonym,Koenigia rumicifolia var. rumicifolia,"",Polygonaceae,Koenigia,Variety,77232455-1,exact_name_unique
Acorus calamus L.,Acorus calamus L.,Accepted,Acorus calamus,L.,Acoraceae,Acorus,Species,84009-1,exact_full
Acroptilon repens (L.) DC.,Acroptilon repens (L.) DC.,Synonym,Rhaponticum repens,(L.) Hidalgo,Asteraceae,Rhaponticum,Species,77073843-1,exact_full
Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,Accepted,Adiantum capillus-veneris,L.,Pteridaceae,Adiantum,Species,325030-2,exact_full
Adonis aestivalis L.,Adonis aestivalis L.,Accepted,Adonis aestivalis,L.,Ranunculaceae,Adonis,Species,708056-1,name_multi_author_ok
Adonis chrysocyathus Hook.f. & Thomson,Adonis chrysocyathus Hook.f. & Thomson,Accepted,Adonis chrysocyathus,Hook.f. & Thomson,Ranunculaceae,Adonis,Species,708081-1,exact_full
Adonis leiosepala Butkov,Adonis leiosepala Butkov,Accepted,Adonis leiosepala,Butkov,Ranunculaceae,Adonis,Species,978258-1,exact_full
Adonis parviflora Fisch. ex DC.,Adonis parviflora Fisch. ex DC.,Synonym,Adonis aestivalis subsp. aestivalis,"",Ranunculaceae,Adonis,Subspecies,77227397-1,name_multi_author_ok
Adonis turkestanica (Korsh.) Adolf,Adonis turkestanica (Korsh.) Adolf,Accepted,Adonis turkestanica,(Korsh.) Adolf,Ranunculaceae,Adonis,Species,708155-1,exact_full
Aegilops crassa Boiss.,Aegilops crassa Boiss. ex Hohen.,Accepted,Aegilops crassa,Boiss. ex Hohen.,Poaceae,Aegilops,Species,384576-1,exact_name_unique
Aegilops cylindrica Host,Aegilops cylindrica Host,Accepted,Aegilops cylindrica,Host,Poaceae,Aegilops,Species,384583-1,name_multi_author_ok
Aegilops juvenalis (Thell.) Eig,Aegilops juvenalis (Thell.) Eig,Accepted,Aegilops juvenalis,(Thell.) Eig,Poaceae,Aegilops,Species,384606-1,exact_full
Aegilops squarrosa L.,Aegilops squarrosa L.,Synonym,Aegilops triuncialis,L.,Poaceae,Aegilops,Species,384658-1,exact_full
Aegilops triuncialis L.,Aegilops triuncialis L.,Accepted,Aegilops triuncialis,L.,Poaceae,Aegilops,Species,384658-1,exact_full
Aegopodium alpestre Ledeb.,Aegopodium alpestre Ledeb.,Accepted,Aegopodium alpestre,Ledeb.,Apiaceae,Aegopodium,Species,837318-1,exact_full
Aegopodium kashmiricum (R.R. Stewart ex Dunn) Pimenov,Aegopodium kashmiricum (R.R.Stewart ex Dunn) Pimenov,Accepted,Aegopodium kashmiricum,(R.R.Stewart ex Dunn) Pimenov,Apiaceae,Aegopodium,Species,969437-1,exact_full
Aegopodium tadshikorum Schischk.,Aegopodium tadshikorum Schischk.,Accepted,Aegopodium tadshikorum,Schischk.,Apiaceae,Aegopodium,Species,837331-1,exact_full
Aeluropus intermedius Regel,Aeluropus intermedius Regel,Synonym,Aeluropus littoralis,(Gouan) Parl.,Poaceae,Aeluropus,Species,1180129-2,exact_full
Aeluropus litoralis (Gouan.) Parl.,Aeluropus littoralis (Gouan) Parl.,Accepted,Aeluropus littoralis,(Gouan) Parl.,Poaceae,Aeluropus,Species,1180129-2,manual_alias
Aeluropus repens (Desf.) Parl.,Aeluropus repens (Desf.) Parl.,Synonym,Aeluropus lagopoides,(L.) Thwaites,Poaceae,Aeluropus,Species,384722-1,exact_full
Aethionema carneum (Banks & Soland.) B. Fedtsch.,Aethionema carneum (Banks & Sol.) B.Fedtsch.,Accepted,Aethionema carneum,(Banks & Sol.) B.Fedtsch.,Brassicaceae,Aethionema,Species,277172-1,exact_name_unique
Agrimonia asiatica Juz.,Agrimonia asiatica Juz.,Synonym,Agrimonia eupatoria subsp. asiatica,(Juz.) Skalický,Rosaceae,Agrimonia,Subspecies,77251250-1,exact_full
Agriophyllum lateriflorum (Lam.) Moq.,Agriophyllum lateriflorum (Lam.) Moq.,Accepted,Agriophyllum lateriflorum,(Lam.) Moq.,Amaranthaceae,Agriophyllum,Species,163343-1,exact_full
Agriophyllum latifolium Fisch. & C.A. Mey.,Agriophyllum latifolium Fisch. & C.A.Mey.,Accepted,Agriophyllum latifolium,Fisch. & C.A.Mey.,Amaranthaceae,Agriophyllum,Species,163344-1,exact_full
Agriophyllum minus Fisch. & C.A. Mey.,Agriophyllum minus Fisch. & C.A.Mey. ex Fenzl,Accepted,Agriophyllum minus,Fisch. & C.A.Mey. ex Fenzl,Amaranthaceae,Agriophyllum,Species,163345-1,exact_name_unique
Agriophyllum paletzkianum Litv.,Agriophyllum paletzkianum Litv.,Accepted,Agriophyllum paletzkianum,Litv.,Amaranthaceae,Agriophyllum,Species,163347-1,exact_full
Agriophyllum pungens (Vahl) Link ex A.Dietr.,Agriophyllum pungens (Vahl) Link ex A.Dietr.,Accepted,Agriophyllum pungens,(Vahl) Link ex A.Dietr.,Amaranthaceae,Agriophyllum,Species,163348-1,exact_full
Agropyron alaicum Drobow,Agropyron alaicum Drobow,Synonym,Kengyilia batalinii,"(Krasn.) J.L.Yang, C.Yen & B.R.Baum",Poaceae,Kengyilia,Species,971690-1,exact_full
Agropyron alatavicum Drobow,Agropyron alatavicum Drobow,Synonym,Kengyilia alatavica,"(Drobow) J.L.Yang, C.Yen & B.R.Baum",Poaceae,Kengyilia,Species,971692-1,exact_full
Agropyron badamense Drobow,Agropyron badamense Drobow,Accepted,Agropyron badamense,Drobow,Poaceae,Agropyron,Species,384865-1,exact_full
Agropyron batalinii (Krasn.) Roshev.,Agropyron batalinii (Krasn.) Roshev.,Synonym,Kengyilia batalinii,"(Krasn.) J.L.Yang, C.Yen & B.R.Baum",Poaceae,Kengyilia,Species,971690-1,exact_full
Agropyron caninum (L.) Beauv.,Agropyron caninum (L.) P.Beauv.,Synonym,Elymus caninus,(L.) L.,Poaceae,Elymus,Species,400197-1,exact_name_unique
Agropyron cristatum (L.) Beauv.,Agropyron cristatum (L.) Gaertn.,Accepted,Agropyron cristatum,(L.) Gaertn.,Poaceae,Agropyron,Species,7365-2,exact_name_unique
Agropyron curvatum Nevski,Agropyron curvatum Nevski,Synonym,Elymus fedtschenkoi,Tzvelev,Poaceae,Elymus,Species,400255-1,exact_full
Agropyron drobovii Nevski,Agropyron drobovii Nevski,Synonym,Campeiostachys drobovii,"(Nevski) B.R.Baum, J.L.Yang & C.Yen",Poaceae,Campeiostachys,Species,77323254-1,exact_full
Agropyron ferganense Drobow,Agropyron ferganense Drobow,Synonym,Pseudoroegneria geniculata,(Trin.) Á.Löve,Poaceae,Pseudoroegneria,Species,914490-1,exact_full
Agropyron fragile (Roth) Nevski,Agropyron fragile (Roth) P.Candargy,Accepted,Agropyron fragile,(Roth) P.Candargy,Poaceae,Agropyron,Species,384994-1,exact_name_unique
Agropyron intermedium (Host) Beauv.,Agropyron intermedium (Host) P.Beauv.,Synonym,Thinopyrum intermedium,(Host) Barkworth & D.R.Dewey,Poaceae,Thinopyrum,Species,1003651-1,exact_name_unique
Agropyron interruptum Nevski,Agropyron interruptum Nevski,Synonym,Elymus praeruptus,Tzvelev,Poaceae,Elymus,Species,400392-1,exact_full
Agropyron lachnophyllum (Ovcz. & Sidorenko) Bondarenko,Agropyron lachnophyllum (Ovcz. & Sidorenko) Bondarenko,Synonym,Elymus dentatus,(Hook.f.) Tzvelev,Poaceae,Elymus,Species,910573-1,exact_full
Agropyron lolioides (Kar. & Kir.) Roshev.,Agropyron lolioides P.Candargy,Synonym,Elymus lolioides,(P.Candargy) Melderis,Poaceae,Elymus,Species,400331-1,exact_name_unique
Agropyron longiaristatum Boiss.,Agropyron longiaristatum var. aitchisonii Boiss.,Synonym,Elymus longearistatus,(Boiss.) Tzvelev,Poaceae,Elymus,Species,400332-1,canon_exact
Agropyron macrochaetum (Nevski) Bondarenko,Agropyron macrochaetum (Nevski) Bondarenko,Synonym,Elymus macrochaetus,(Nevski) Tzvelev,Poaceae,Elymus,Species,400337-1,exact_full
Agropyron praecaespitosum Nevski,Agropyron praecaespitosum Nevski,Synonym,Elymus mutabilis,(Drobow) Tzvelev,Poaceae,Elymus,Species,400355-1,exact_full
Agropyron repens (L.) Beauv.,Agropyron repens (L.) P.Beauv.,Synonym,Elymus repens,(L.) Gould,Poaceae,Elymus,Species,90320-2,exact_name_unique
Agropyron schrenkianum (Fisch. & C.A. Mey.) P. Candargy,Agropyron schrenkianum (Fisch. & C.A.Mey. ex Schrenk) P.Candargy,Synonym,Campeiostachys schrenkiana,(Fisch. & C.A.Mey. ex Schrenk) Drobow,Poaceae,Campeiostachys,Species,394989-1,exact_name_unique
Agropyron setuliferum Nevski,Agropyron setuliferum (Nevski) Nevski,Synonym,Pseudoroegneria setulifera,(Nevski) Á.Löve,Poaceae,Pseudoroegneria,Species,914497-1,exact_name_unique
Agropyron tianschanicum Drobow,Agropyron tianschanicum Drobow,Synonym,Elymus uralensis,(Nevski) Tzvelev,Poaceae,Elymus,Species,400477-1,exact_full
Agropyron transhyrcanum (Nevski) Bondarenko,Agropyron transhyrcanum (Nevski) Bondarenko,Synonym,Elymus transhyrcanus,(Nevski) Tzvelev,Poaceae,Elymus,Species,400466-1,exact_full
Agropyron transnominatum Bondarenko,Agropyron transnominatum Bondarenko,Synonym,Elymus sclerophyllus,(Nevski) Tzvelev,Poaceae,Elymus,Species,400428-1,exact_full
Agropyron trichophorum (Link) K. Richt.,Agropyron trichophorum (Link) K.Richt.,Synonym,Thinopyrum intermedium subsp. intermedium,"",Poaceae,Thinopyrum,Subspecies,77172814-1,exact_full
Agropyron tschimganicum Drobow,Agropyron czimganicum Drobow,Synonym,Elymus czimganicus,(Drobow) Tzvelev,Poaceae,Elymus,Species,400227-1,canon_exact
Agropyron ugamicum Drobow,Agropyron ugamicum Drobow,Synonym,Elymus dentatus,(Hook.f.) Tzvelev,Poaceae,Elymus,Species,910573-1,exact_full
Agrostemma githago L.,Agrostemma githago L.,Accepted,Agrostemma githago,L.,Caryophyllaceae,Agrostemma,Species,150316-1,exact_full
Agrostis gigantea Roth,Agrostis gigantea Roth,Accepted,Agrostis gigantea,Roth,Poaceae,Agrostis,Species,385783-1,exact_full
Agrostis hissarica Roshev.,Agrostis hissarica Roshev.,Synonym,Polypogon hissaricus,(Roshev.) Bor,Poaceae,Polypogon,Species,418686-1,exact_full
Agrostis stolonifera L.,Agrostis stolonifera L.,Accepted,Agrostis stolonifera,L.,Poaceae,Agrostis,Species,386353-1,name_multi_author_ok
Agrostis transcaspica Litv.,Agrostis transcaspica Litv.,Synonym,Agrostis stolonifera,L.,Poaceae,Agrostis,Species,386353-1,exact_full
Agrostis turkestanica Drobow,Agrostis turkestanica Drobow,Synonym,Agrostis vinealis,Schreb.,Poaceae,Agrostis,Species,386503-1,exact_full
Ailantus altissima (Mill.) Swingle,Ailanthus altissima (Mill.) Swingle,Accepted,Ailanthus altissima,(Mill.) Swingle,Simaroubaceae,Ailanthus,Species,813521-1,manual_alias
Ajuga turkestanica (Regel) Briq.,Ajuga turkestanica (Regel) Briq.,Accepted,Ajuga turkestanica,(Regel) Briq.,Lamiaceae,Ajuga,Species,444689-1,exact_full
Alcea baldshuanica (Bornm.) Iljin,Alcea baldshuanica (Bornm.) Iljin,Accepted,Alcea baldshuanica,(Bornm.) Iljin,Malvaceae,Alcea,Species,558649-1,exact_full
Alcea litvinovii (Iljin) Iljin,Alcea litwinowii (Iljin) Iljin,Accepted,Alcea litwinowii,(Iljin) Iljin,Malvaceae,Alcea,Species,558690-1,canon_exact
Alcea nikitinii Iljin,Alcea nikitinii Iljin,Accepted,Alcea nikitinii,Iljin,Malvaceae,Alcea,Species,558696-1,exact_full
Alcea nudiflora (Lindl.) Boiss.,Alcea nudiflora (Lindl.) Boiss.,Accepted,Alcea nudiflora,(Lindl.) Boiss.,Malvaceae,Alcea,Species,60465994-2,exact_full
Alcea rhyticarpa (Trautv.) Iljin,Alcea rhyticarpa (Trautv.) Iljin,Accepted,Alcea rhyticarpa,(Trautv.) Iljin,Malvaceae,Alcea,Species,558712-1,exact_full
Alchemilla chionophila Juz.,Alchemilla chionophila Juz.,Accepted,Alchemilla chionophila,Juz.,Rosaceae,Alchemilla,Species,720463-1,exact_full
Alchemilla cyrtopleura Juz.,Alchemilla cyrtopleura Juz.,Accepted,Alchemilla cyrtopleura,Juz.,Rosaceae,Alchemilla,Species,720500-1,exact_full
Alchemilla fontinalis Juz.,Alchemilla fontinalis Juz.,Accepted,Alchemilla fontinalis,Juz.,Rosaceae,Alchemilla,Species,720578-1,exact_full
Alchemilla krylovii Juz.,Alchemilla krylovii Juz.,Accepted,Alchemilla krylovii,Juz.,Rosaceae,Alchemilla,Species,720712-1,exact_full
Alchemilla retropilosa Juz.,Alchemilla retropilosa Juz.,Accepted,Alchemilla retropilosa,Juz.,Rosaceae,Alchemilla,Species,720920-1,exact_full
Alchemilla sibirica Zámelis,Alchemilla sibirica Zämelis,Accepted,Alchemilla sibirica,Zämelis,Rosaceae,Alchemilla,Species,720972-1,exact_name_unique
Alchemilla tianschanica Juz.,Alchemilla tianschanica Juz.,Accepted,Alchemilla tianschanica,Juz.,Rosaceae,Alchemilla,Species,721026-1,exact_full
Aldrovanda vesiculosa L.,Aldrovanda vesiculosa L.,Accepted,Aldrovanda vesiculosa,L.,Droseraceae,Aldrovanda,Species,321755-1,exact_full
Alexandra lehmannii Bunge,Alexandra lehmannii Bunge,Synonym,Suaeda lehmannii,"(Bunge) Kapralov, Akhani & Roalson",Amaranthaceae,Suaeda,Species,60443480-2,exact_full
Alhagi canescens (Regel) Shap. ex Keller & Shap.,Alhagi canescens (Regel) Shap.,Synonym,Alhagi pseudalhagi subsp. canescens,(Regel) Yakovl.,Fabaceae,Alhagi,Subspecies,77253836-1,exact_name_unique
Alhagi kirghisorum Schrenk ex Fisch. & C. A. Mey.,Alhagi kirghisorum Schrenk ex Fisch. & C.A.Mey.,Synonym,Alhagi pseudalhagi subsp. kirghisorum,(Schrenk) Yakovl.,Fabaceae,Alhagi,Subspecies,77253639-1,exact_full
Alhagi persarum Boiss. & Buhse,Alhagi persarum Boiss. & Buhse,Synonym,Alhagi pseudalhagi subsp. persarum,(Boiss. & Buhse) Takht.,Fabaceae,Alhagi,Subspecies,884591-1,exact_full
Alhagi pseudalhagi (M. Bieb.) Desv.,Alhagi pseudalhagi (M.Bieb.) Desv. ex Wangerin,Accepted,Alhagi pseudalhagi,(M.Bieb.) Desv. ex Wangerin,Fabaceae,Alhagi,Species,77221624-1,exact_name_unique
Alisma gramineum Gmelin,Alisma gramineum Lej.,Accepted,Alisma gramineum,Lej.,Alismataceae,Alisma,Species,77097302-1,exact_name_unique
Alisma lanceolatum With.,Alisma lanceolatum With.,Accepted,Alisma lanceolatum,With.,Alismataceae,Alisma,Species,1047073-2,exact_full
Alisma plantago-aguatica L.,Alisma plantago-aquatica L.,Accepted,Alisma plantago-aquatica,L.,Alismataceae,Alisma,Species,30019518-2,manual_alias
Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,Accepted,Alliaria petiolata,(M.Bieb.) Cavara & Grande,Brassicaceae,Alliaria,Species,1176324-2,exact_full
Allium adylovii Tojibaev & R.M. Fritsch ined.,,,,,,,,,not_found
Allium aflatunense B. Fedtsch.,Allium aflatunense B.Fedtsch.,Accepted,Allium aflatunense,B.Fedtsch.,Amaryllidaceae,Allium,Species,527536-1,exact_full
Allium aktauense F.O. Khass. & Esankulov,Allium aktauense F.O.Khass. & Esankulov,Accepted,Allium aktauense,F.O.Khass. & Esankulov,Amaryllidaceae,Allium,Species,77165250-1,exact_full
Allium alaicum Vved.,Allium alaicum Vved.,Accepted,Allium alaicum,Vved.,Amaryllidaceae,Allium,Species,527542-1,exact_full
Allium alexeianum Regel,Allium alexeianum Regel,Accepted,Allium alexeianum,Regel,Amaryllidaceae,Allium,Species,527560-1,exact_full
